gw,Player,playerID,Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,TotDist,PrgDist,xA,KP,Passes_Final_Third,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,Inswinging,Outswinging,Str,Pass_Offside,TklW,Def_3rd,Mid_3rd,Att_3rd,TklPct,Lost,Pass,TklAndInterceptions,Clr,Err,Def_Pen,Att_Pen,SuccPct,Tkld,TkldPct,CPA,Mis,Dis,Rec,PrgR,SecondCrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,WonPct,SoTA,GA,Saves,SavePct,PSxG,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,NumOPA,AvgDist
4,Neco Williams,dd323728,7,WAL,WB,21,90,0,0,0,0,3,0,0,0,89,7,0,1,0.2,0.2,0.0,2,0,53,71,74.6,2,51,3,0,845,170,0.0,1,2,0,0,64,6,1,0,2,6,5,0,0,0,0,1,5,4,3,0,66.7,1,1,7,0,0,2,5,0.0,2,100.0,0,3,1,60,15,0,0,0,0,0,0,5,1,50.0,,,,,,,,,,,,,
4,Pierre Højbjerg,8b04d6c1,5,DEN,CM,27,90,0,0,0,0,1,0,0,0,73,1,5,1,0.1,0.1,0.3,6,1,55,67,82.1,6,36,2,2,1005,344,0.2,3,6,1,0,65,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0.0,1,0,6,1,0,3,1,100.0,0,0.0,0,0,0,55,4,0,3,2,0,0,0,9,1,100.0,,,,,,,,,,,,,
4,Remo Freuler,98d2c2c4,23,SUI,DM,30,16,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,1,0,12,13,92.3,3,8,0,0,205,47,0.0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,,0,,0,0,0,12,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4,Richarlison,fa031b34,9,BRA,LM,25,17,0,1,0,0,2,1,0,0,17,0,1,0,0.4,0.4,0.4,2,1,10,12,83.3,0,9,1,0,141,25,0.2,1,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,3,,0,,0,1,2,12,1,0,1,1,0,0,0,1,0,0.0,,,,,,,,,,,,,
4,Rodrigo Bentancur,3b8674e6,30,URU,CM,25,89,0,0,0,0,0,0,0,0,59,1,2,1,0.0,0.0,0.0,2,0,44,51,86.3,1,27,0,1,644,216,0.0,0,1,0,0,49,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,50.0,1,0,3,2,0,4,0,50.0,1,50.0,0,1,0,40,0,0,0,0,0,0,0,7,2,50.0,,,,,,,,,,,,,
4,Ryan Sessegnon,6aa3e78b,19,ENG,LB,22,17,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,6,8,75.0,0,4,1,0,88,32,0.0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,1,1,,0,,1,0,2,6,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4,Ryan Yates,c1fe2a48,22,ENG,CM,24,74,0,0,0,0,4,0,0,0,55,1,1,1,0.2,0.2,0.1,2,0,42,46,91.3,4,22,0,0,800,154,0.2,1,1,1,0,42,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,50.0,1,1,2,0,0,0,7,,0,,0,0,1,32,1,0,1,1,0,0,0,10,1,50.0,,,,,,,,,,,,,
4,Sam Surridge,b017b770,16,ENG,RW,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,14,12,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
4,Scott McKenna,4e5a4cbc,26,SCO,CB,25,90,0,0,0,0,0,0,1,0,74,3,0,3,0.0,0.0,0.1,2,0,58,65,89.2,6,25,1,0,1131,402,0.1,2,7,2,1,60,5,2,0,0,1,3,0,0,0,0,0,1,0,1,2,0.0,1,1,3,3,0,8,1,,0,,0,0,0,49,0,0,1,0,0,0,0,6,0,0.0,,,,,,,,,,,,,
4,Son Heung-min,92e7e919,7,KOR,AM,30,73,0,0,0,0,2,1,0,0,22,0,0,0,0.2,0.2,0.2,4,0,11,17,64.7,2,15,3,0,186,69,0.0,3,2,0,0,16,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0.0,1,100.0,0,2,3,17,1,0,1,1,0,0,0,1,0,0.0,,,,,,,,,,,,,
4,Steve Cook,3e5e4e63,3,ENG,CB,31,74,0,0,0,0,0,0,1,0,52,1,5,1,0.0,0.0,0.0,1,0,36,43,83.7,2,20,0,0,783,246,0.2,1,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.0,1,0,6,0,0,2,2,,0,,0,0,0,36,0,0,1,0,0,1,0,1,4,80.0,,,,,,,,,,,,,
4,Taiwo Awoniyi,e5478b87,9,NGA,FW,25,16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,2,0,5,6,83.3,1,6,0,1,63,14,0.0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,100.0,0,0.0,0,0,1,6,2,0,1,0,0,0,0,3,0,,,,,,,,,,,,,,
4,Yves Bissouma,6c203af0,38,MLI,CM,25,8,0,0,0,0,0,0,0,0,13,1,1,1,0.0,0.0,0.0,0,0,6,9,66.7,2,6,0,0,102,33,0.0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,1,0,2,0,0,1,0,,0,,0,0,0,6,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,
